Województwo,Dzień,ID,Suma,Ludność,Wskaźnik,
Dolnośląskie,02.11,7,737,2901225,254,
Łódzkie,02.11,12,1180,2466322,478,
Pomorskie,02.11,10,967,2333523,414,
Kujawsko-Pomorskie,02.11,5,1379,2077775,664,
Podkarpackie,02.11,8,1049,2129015,493,
Lubelskie,02.11,14,1043,2117619,493,
Zachodniopomorskie,02.11,3,572,1701030,336,
Świętokrzyskie,02.11,4,294,1241546,237,
Warmińsko-Mazurskie,02.11,11,582,1428983,407,
Opolskie,02.11,1,355,986506,360,
Podlaskie,02.11,6,543,1181533,460,
Lubuskie,02.11,15,295,1014548,291,
Śląskie,03.11,0,2407,4533565,531,
Mazowieckie,03.11,13,2959,5403412,548,
Małopolskie,03.11,9,2106,3400577,619,
Wielkopolskie,03.11,2,2114,3493969,605,
Dolnośląskie,03.11,7,1964,2901225,677,
Łódzkie,03.11,12,1110,2466322,450,
Pomorskie,03.11,10,1317,2333523,564,
Kujawsko-Pomorskie,03.11,5,551,2077775,265,
Podkarpackie,03.11,8,929,2129015,436,
Lubelskie,03.11,14,1290,2117619,609,
Zachodniopomorskie,03.11,3,454,1701030,267,
Świętokrzyskie,03.11,4,551,1241546,444,
Warmińsko-Mazurskie,03.11,11,565,1428983,395,
Opolskie,03.11,1,445,986506,451,
Podlaskie,03.11,6,316,1181533,267,
Lubuskie,03.11,15,286,1014548,282,
Śląskie,04.11,0,2165,4533565,478,
Mazowieckie,04.11,13,2797,5403412,518,
Małopolskie,04.11,9,2245,3400577,660,
Wielkopolskie,04.11,2,3952,3493969,1131,
Dolnośląskie,04.11,7,2324,2901225,801,
Łódzkie,04.11,12,1766,2466322,716,
Pomorskie,04.11,10,1352,2333523,579,
Kujawsko-Pomorskie,04.11,5,1429,2077775,688,
Podkarpackie,04.11,8,1280,2129015,601,
Lubelskie,04.11,14,1543,2117619,729,
Zachodniopomorskie,04.11,3,747,1701030,439,
Świętokrzyskie,04.11,4,767,1241546,618,
Warmińsko-Mazurskie,04.11,11,622,1428983,435,
Opolskie,04.11,1,644,986506,653,
Podlaskie,04.11,6,625,1181533,529,
Lubuskie,04.11,15,434,1014548,428,
Śląskie,05.11,0,3850,4533565,849,
Mazowieckie,05.11,13,2932,5403412,543,
Małopolskie,05.11,9,2342,3400577,689,
Wielkopolskie,05.11,2,3888,3493969,1113,
Dolnośląskie,05.11,7,2451,2901225,845,
Łódzkie,05.11,12,1713,2466322,695,
