Województwo,Dzień,ID,Suma,Ludność,Przypadki_na_1_milion_osób,
Wielkopolskie,21.11,2,2525,3493969,723,
Dolnośląskie,21.11,7,1792,2901225,618,
Łódzkie,21.11,12,1563,2466322,634,
Pomorskie,21.11,10,1715,2333523,735,
Kujawsko-Pomorskie,21.11,5,1257,2077775,605,
Podkarpackie,21.11,8,872,2129015,410,
Lubelskie,21.11,14,1600,2117619,756,
Zachodniopomorskie,21.11,3,1101,1701030,647,
Świętokrzyskie,21.11,4,760,1241546,612,
Warmińsko-Mazurskie,21.11,11,1191,1428983,833,
Opolskie,21.11,1,703,986506,713,
Podlaskie,21.11,6,927,1181533,785,
Lubuskie,21.11,15,645,1014548,636,
Śląskie,22.11,0,1611,4533565,355,
Mazowieckie,22.11,13,2607,5403412,482,
Małopolskie,22.11,9,1444,3400577,425,
Wielkopolskie,22.11,2,2070,3493969,592,
Dolnośląskie,22.11,7,1005,2901225,346,
Łódzkie,22.11,12,1136,2466322,461,
Pomorskie,22.11,10,1139,2333523,488,
Kujawsko-Pomorskie,22.11,5,1000,2077775,481,
Podkarpackie,22.11,8,703,2129015,330,
Lubelskie,22.11,14,900,2117619,425,
Zachodniopomorskie,22.11,3,960,1701030,564,
Świętokrzyskie,22.11,4,391,1241546,315,
Warmińsko-Mazurskie,22.11,11,890,1428983,623,
Opolskie,22.11,1,563,986506,571,
Podlaskie,22.11,6,865,1181533,732,
Lubuskie,22.11,15,572,1014548,564,
Śląskie,23.11,0,694,4533565,153,
Mazowieckie,23.11,13,2295,5403412,425,
Małopolskie,23.11,9,1401,3400577,412,
Wielkopolskie,23.11,2,1899,3493969,544,
Dolnośląskie,23.11,7,1035,2901225,357,
Łódzkie,23.11,12,906,2466322,367,
Pomorskie,23.11,10,959,2333523,411,
Kujawsko-Pomorskie,23.11,5,931,2077775,448,
Podkarpackie,23.11,8,540,2129015,254,
Lubelskie,23.11,14,795,2117619,375,
Zachodniopomorskie,23.11,3,965,1701030,567,
Świętokrzyskie,23.11,4,364,1241546,293,
Warmińsko-Mazurskie,23.11,11,864,1428983,605,
Opolskie,23.11,1,493,986506,500,
Podlaskie,23.11,6,455,1181533,385,
Lubuskie,23.11,15,406,1014548,400,
