Województwo,Dzieñ,ID,Suma_zgonow
Podkarpackie,20.11,8,53
Lubelskie,20.11,14,45
Zachodniopomorskie,20.11,3,24
Œwiêtokrzyskie,20.11,4,28
Warmiñsko-Mazurskie,20.11,11,15
Opolskie,20.11,1,15
Podlaskie,20.11,6,22
Lubuskie,20.11,15,14
Œl¹skie,21.11,0,62
Mazowieckie,21.11,13,53
Ma³opolskie,21.11,9,90
Wielkopolskie,21.11,2,50
Dolnoœl¹skie,21.11,7,47
£ódzkie,21.11,12,14
Pomorskie,21.11,10,25
Kujawsko-Pomorskie,21.11,5,33
Podkarpackie,21.11,8,46
Lubelskie,21.11,14,43
Zachodniopomorskie,21.11,3,34
Œwiêtokrzyskie,21.11,4,11
Warmiñsko-Mazurskie,21.11,11,24
Opolskie,21.11,1,14
Podlaskie,21.11,6,12
Lubuskie,21.11,15,16
Œl¹skie,22.11,0,29
Mazowieckie,22.11,13,51
Ma³opolskie,22.11,9,38
Wielkopolskie,22.11,2,23
Dolnoœl¹skie,22.11,7,13
£ódzkie,22.11,12,17
Pomorskie,22.11,10,13
Kujawsko-Pomorskie,22.11,5,7
Podkarpackie,22.11,8,33
Lubelskie,22.11,14,27
Zachodniopomorskie,22.11,3,30
Œwiêtokrzyskie,22.11,4,12
Warmiñsko-Mazurskie,22.11,11,3
Opolskie,22.11,1,11
Podlaskie,22.11,6,17
Lubuskie,22.11,15,6
Œl¹skie,23.11,0,11
Mazowieckie,23.11,13,7
Ma³opolskie,23.11,9,33
Wielkopolskie,23.11,2,12
Dolnoœl¹skie,23.11,7,5
£ódzkie,23.11,12,26
Pomorskie,23.11,10,9
Kujawsko-Pomorskie,23.11,5,1
Podkarpackie,23.11,8,13
Lubelskie,23.11,14,16
Zachodniopomorskie,23.11,3,7
Œwiêtokrzyskie,23.11,4,3
Warmiñsko-Mazurskie,23.11,11,2
Opolskie,23.11,1,2
Podlaskie,23.11,6,3
Lubuskie,23.11,15,6
